1.025,-1.220e-04
1.015,9.756e-03
1.003,1.963e-02
0.991,2.951e-02
0.977,3.939e-02
0.963,4.927e-02
0.947,5.915e-02
0.931,6.902e-02
0.914,7.890e-02
0.895,8.878e-02
0.876,9.866e-02
0.856,0.108
0.835,0.118
0.812,0.128
0.789,0.138
0.765,0.148
0.740,0.158
0.714,0.168
0.686,0.178
0.658,0.188
0.629,0.197
0.599,0.207
0.568,0.217
0.536,0.227
0.503,0.237
0.469,0.247
0.434,0.257
0.398,0.267
0.362,0.277
0.324,0.286
0.285,0.296
0.245,0.306
0.204,0.316
0.163,0.326
0.120,0.336
7.619e-02,0.346
3.154e-02,0.355
-1.398e-02,0.365
-5.686e-02,0.375
-9.098e-02,0.385
-0.112,0.395
-0.117,0.405
-0.105,0.415
-7.914e-02,0.425
-4.252e-02,0.434
-6.050e-04,0.444
4.143e-02,0.454
8.247e-02,0.464
0.122,0.474
0.162,0.484
0.200,0.494
0.237,0.504
0.273,0.513
0.308,0.523
0.342,0.533
0.375,0.543
0.407,0.553
0.439,0.563
0.469,0.573
0.498,0.583
0.526,0.593
0.554,0.602
0.580,0.612
0.605,0.622
0.629,0.632
0.653,0.642
0.675,0.652
0.696,0.662
0.717,0.672
0.736,0.681
0.755,0.691
0.772,0.701
0.788,0.711
0.804,0.721
0.818,0.731
0.832,0.741
0.845,0.751
0.856,0.760
0.867,0.770
0.876,0.780
0.885,0.790
0.892,0.800
0.899,0.810
0.905,0.820
0.909,0.830
0.913,0.840
0.916,0.849
0.917,0.859
0.918,0.869
0.918,0.879
0.917,0.889
0.915,0.899
0.911,0.909
0.907,0.918
0.902,0.928
0.896,0.938
0.889,0.948
0.881,0.958
0.872,0.968
0.862,0.978
0.851,0.988
0.839,0.998
0.826,1.007
0.812,1.017
0.797,1.027
0.781,1.037
0.764,1.047
0.747,1.056
0.728,1.066
0.708,1.076
0.687,1.086
0.665,1.096
0.643,1.105
0.619,1.115
0.594,1.125
0.569,1.135
0.542,1.145
0.514,1.154
0.486,1.164
0.456,1.174
0.425,1.184
0.394,1.194
0.361,1.203
0.328,1.213
0.294,1.223
0.258,1.233
0.222,1.243
0.184,1.252
0.146,1.262
0.107,1.272
6.635e-02,1.282
2.508e-02,1.292
-1.697e-02,1.301
-5.611e-02,1.311
-8.672e-02,1.321
-0.105,1.331
-0.108,1.341
-9.603e-02,1.351
-7.106e-02,1.360
-3.660e-02,1.370
2.285e-03,1.380
4.100e-02,1.390
7.874e-02,1.400
0.116,1.409
0.151,1.419
0.186,1.429
0.220,1.439
0.253,1.449
0.284,1.458
0.315,1.468
0.345,1.478
0.374,1.488
0.402,1.498
0.429,1.507
0.455,1.517
0.480,1.527
0.504,1.537
0.526,1.547
0.548,1.556
0.570,1.566
0.590,1.576
0.609,1.586
0.627,1.596
0.644,1.605
0.660,1.615
0.675,1.625
0.689,1.635
0.702,1.645
0.714,1.654
0.726,1.664
0.736,1.674
0.745,1.684
0.753,1.694
0.761,1.704
0.767,1.713
0.772,1.723
0.776,1.733
0.780,1.743
0.782,1.753
0.784,1.762
0.784,1.772
0.783,1.782
0.782,1.792
0.779,1.802
0.776,1.811
0.771,1.821
0.766,1.831
0.759,1.841
0.752,1.851
0.744,1.860
0.734,1.870
0.724,1.880
0.713,1.890
0.700,1.900
0.687,1.909
0.673,1.919
0.657,1.929
0.641,1.939
0.624,1.949
0.606,1.958
0.587,1.968
0.566,1.978
0.545,1.988
0.523,1.998
0.500,2.008
0.476,2.017
0.451,2.027
0.425,2.037
0.398,2.047
0.370,2.057
0.341,2.066
0.311,2.076
0.280,2.086
0.248,2.096
0.215,2.106
0.182,2.115
0.147,2.125
0.111,2.135
7.424e-02,2.145
3.651e-02,2.155
-2.188e-03,2.164
-3.998e-02,2.174
-7.163e-02,2.184
-9.278e-02,2.194
-0.101,2.204
-9.470e-02,2.213
-7.571e-02,2.223
-4.654e-02,2.233
-1.148e-02,2.243
2.459e-02,2.253
5.970e-02,2.262
9.383e-02,2.272
0.127,2.282
0.159,2.292
0.190,2.302
0.221,2.311
0.250,2.321
0.278,2.331
0.305,2.341
0.331,2.351
0.357,2.361
0.381,2.370
0.404,2.380
0.427,2.390
0.448,2.400
0.468,2.410
0.488,2.419
0.506,2.429
0.523,2.439
0.540,2.449
0.555,2.459
0.570,2.468
0.583,2.478
0.596,2.488
0.607,2.498
0.618,2.508
0.627,2.517
0.636,2.527
0.644,2.537
0.650,2.547
0.656,2.557
0.661,2.566
0.664,2.576
0.667,2.586
0.669,2.596
0.669,2.606
0.669,2.615
0.668,2.625
0.666,2.635
0.663,2.645
0.658,2.655
0.653,2.665
0.647,2.674
0.640,2.684
0.632,2.694
0.623,2.704
0.613,2.714
0.602,2.723
0.590,2.733
0.577,2.743
0.563,2.753
0.548,2.763
0.532,2.772
0.515,2.782
0.497,2.792
0.479,2.802
0.459,2.812
0.438,2.821
0.416,2.831
0.394,2.841
0.370,2.851
0.345,2.861
0.319,2.870
0.293,2.880
0.265,2.890
0.236,2.900
0.207,2.910
0.176,2.919
0.145,2.929
0.112,2.939
7.871e-02,2.949
4.424e-02,2.959
8.795e-03,2.968
-2.688e-02,2.978
-5.841e-02,2.988
-8.134e-02,2.998
-9.267e-02,3.008
-9.113e-02,3.018
-7.714e-02,3.027
-5.276e-02,3.037
-2.157e-02,3.047
1.186e-02,3.057
4.453e-02,3.067
7.622e-02,3.076
0.107,3.086
0.137,3.096
0.165,3.106
0.193,3.116
0.220,3.125
0.246,3.135
0.271,3.145
0.294,3.155
0.317,3.165
