1.334,0.931
1.350,0.928
1.367,0.925
1.384,0.918
1.400,0.913
1.417,0.900
1.434,0.884
1.450,0.866
1.467,0.848
1.484,0.819
1.500,0.791
1.517,0.761
1.534,0.728
1.550,0.689
1.567,0.644
1.584,0.598
1.600,0.549
1.617,0.493
1.634,0.438
1.650,0.375
1.667,0.313
1.684,0.246
1.700,0.173
1.717,9.632E-2
1.734,1.832E-2
1.750,-8.134E-2
1.767,-0.133
1.784,-0.122
1.800,-5.658E-2
1.817,1.647E-2
1.834,8.827E-2
1.850,0.157
1.867,0.220
1.884,0.283
1.900,0.340
1.917,0.390
1.934,0.443
1.950,0.489
1.967,0.530
1.984,0.573
2.000,0.606
2.017,0.639
2.034,0.668
2.050,0.694
2.067,0.717
2.084,0.734
2.100,0.749
2.117,0.759
2.134,0.767
2.150,0.769
2.167,0.770
2.184,0.767
2.200,0.760
2.217,0.752
2.234,0.739
2.250,0.725
2.267,0.702
2.284,0.683
2.300,0.655
2.317,0.623
2.334,0.590
2.350,0.552
2.367,0.510
2.384,0.462
2.400,0.413
2.417,0.359
2.434,0.301
2.450,0.238
2.467,0.176
2.484,0.107
2.500,3.442E-2
2.517,-4.667E-2
2.534,-0.114
2.550,-0.136
2.567,-8.134E-2
2.584,-1.325E-2
2.600,5.546E-2
2.617,0.124
2.634,0.185
2.650,0.242
2.667,0.296
2.684,0.346
2.700,0.390
2.717,0.431
2.734,0.469
2.750,0.505
2.767,0.538
2.784,0.566
2.800,0.588
2.817,0.609
2.834,0.625
2.851,0.638
2.867,0.647
2.884,0.657
2.901,0.658
2.917,0.655
2.934,0.651
2.951,0.642
2.967,0.628
2.984,0.611
3.001,0.590
3.017,0.567
3.034,0.545
3.051,0.511
3.067,0.478
3.084,0.440
3.101,0.400
3.117,0.351
3.134,0.302
3.151,0.246
3.167,0.187
3.184,0.126
3.201,5.853E-2
3.217,-1.370E-2
3.234,-8.637E-2
3.251,-0.137
3.267,-0.110
3.284,-4.960E-2
3.301,1.650E-2
3.317,7.867E-2
3.334,0.138
3.351,0.191
3.367,0.240
3.384,0.289
3.401,0.332
3.417,0.371
3.434,0.403
3.451,0.434
3.467,0.461
3.484,0.484
3.501,0.503
3.517,0.519
3.534,0.530
3.551,0.539
3.567,0.544
3.584,0.546
3.601,0.538
3.617,0.532
3.634,0.523
3.651,0.510
3.667,0.491
3.684,0.472
3.701,0.446
3.717,0.418
3.734,0.386
3.751,0.347
3.767,0.308
3.784,0.263
3.801,0.216
3.817,0.161
3.834,0.108
3.851,4.804E-2
3.867,-1.758E-2
3.884,-8.072E-2
3.901,-0.131
3.917,-0.113
3.934,-5.844E-2
3.951,2.228E-3
3.967,5.794E-2
3.984,0.112
4.001,0.159
4.017,0.205
4.034,0.241
4.051,0.280
4.067,0.312
4.084,0.340
4.101,0.365
4.117,0.386
4.134,0.403
4.151,0.417
4.167,0.428
4.184,0.432
4.201,0.435
4.217,0.435
4.234,0.428
4.251,0.422
4.267,0.408
4.284,0.393
4.301,0.375
4.317,0.353
4.334,0.327
4.351,0.292
4.367,0.259
4.384,0.223
4.401,0.177
4.417,0.134
4.434,8.292E-2
4.451,2.801E-2
4.467,-2.968E-2
4.484,-9.015E-2
4.501,-0.123
4.517,-0.105
4.534,-5.748E-2
4.551,-2.572E-3
4.567,4.608E-2
4.584,9.404E-2
4.601,0.136
4.617,0.171
4.634,0.209
4.651,0.240
4.667,0.267
4.684,0.289
4.701,0.309
4.718,0.327
4.734,0.336
4.751,0.346
4.768,0.349
4.784,0.350
4.801,0.345
4.818,0.338
4.834,0.328
4.851,0.313
4.868,0.295
4.884,0.277
4.901,0.253
4.918,0.225
4.934,0.193
4.951,0.158
4.968,0.117
4.984,7.113E-2
5.001,2.209E-2
5.018,-3.020E-2
5.034,-8.170E-2
5.051,-0.117
5.068,-0.103
5.084,-5.907E-2
5.101,-1.615E-2
5.118,3.302E-2
5.134,7.594E-2
5.151,0.113
5.168,0.144
5.184,0.176
5.201,0.204
5.218,0.223
5.234,0.245
5.251,0.257
5.268,0.270
5.284,0.270
5.301,0.273
5.318,0.278
5.334,0.270
5.351,0.261
5.368,0.252
5.384,0.237
5.401,0.219
5.418,0.198
5.434,0.172
5.451,0.143
5.468,0.107
5.484,6.908E-2
5.501,3.070E-2
5.518,-1.449E-2
5.534,-6.648E-2
5.551,-0.106
5.568,-0.108
5.584,-8.134E-2
5.601,-3.986E-2
5.618,5.324E-3
5.634,4.494E-2
5.651,7.775E-2
5.668,0.112
5.684,0.137
5.701,0.159
5.718,0.177
5.734,0.194
5.751,0.205
5.768,0.209
5.784,0.218
5.801,0.215
5.818,0.213
5.834,0.207
5.851,0.196
5.868,0.179
5.884,0.163
5.901,0.138
5.918,0.114
5.934,8.703E-2
5.951,5.546E-2
5.968,1.894E-2
5.984,-2.412E-2
6.001,-6.513E-2
6.018,-9.918E-2
6.034,-0.104
6.051,-7.555E-2
6.068,-3.802E-2
6.084,-1.877E-3
6.101,3.427E-2
6.118,6.415E-2
6.134,8.709E-2
6.151,0.112
6.168,0.129
6.184,0.143
6.201,0.154
6.218,0.161
6.234,0.165
6.251,0.165
6.268,0.159
6.284,0.152
6.301,0.140
6.318,0.123
6.334,0.108
6.351,8.709E-2
6.368,5.651E-2
6.384,2.871E-2
6.401,-3.267E-3
6.418,-3.871E-2
6.434,-7.694E-2
6.451,-0.101
6.468,-9.362E-2
6.484,-6.235E-2
6.501,-2.968E-2
6.518,2.989E-3
6.534,3.357E-2
6.551,5.929E-2
6.568,7.805E-2
6.585,9.265E-2
6.601,0.107
6.618,0.112
6.635,0.123
6.651,0.123
6.668,0.120
6.685,0.114
6.701,0.107
6.718,8.987E-2
6.735,7.875E-2
6.751,5.720E-2
6.768,3.427E-2
6.785,4.379E-3
6.801,-2.968E-2
6.818,-5.539E-2
6.835,-8.528E-2
6.851,-9.501E-2
6.868,-7.555E-2
6.885,-4.705E-2
6.901,-1.925E-2
6.918,1.063E-2
6.935,3.288E-2
6.951,5.025E-2
6.968,6.485E-2
6.985,7.597E-2
7.001,8.222E-2
